GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,ABW,Aruba,NA,0,32279,33744,34544,35958,37684,37470,36784,38202,37810,37171,39002,39920,39074,39115,41592,41019,40994,41745,41987,36629,35227,36074,35410,37406,36559,36100,36505,38868,39598,38511,29236,37334,41274
2,AFG,Afghanistan,NA,0,1135,1185,1184,1184,1242,1252,1249,1314,1354,1179,1163,1220,1280,1292,1260,1352,1367,1528,1557,1824,2026,1961,2123,2165,2144,2109,2101,2096,2061,2080,1968,1516,1563
3,AGO,Angola,NA,0,5793,5659,5158,3799,3729,4149,4557,4728,4790,4740,4728,4768,5242,5217,5589,6205,6677,7340,7866,7646,7690,7663,8011,8100,8183,7967,7488,7216,6879,6602,6030,5912,5906
901,AIA,Anguilla,NA,0,8875,7885,6895,7557,7542,7749,8451,8448,7900,8200,8400,8600,7500,8150,8800,9650,10500,11350,12200,12916,14146,15298,16166,17403,18687,20091,21407,22835,23754,25074,25901,26664,27381
1004001,ALB,Albania,Berat,0,3707,2746,2621,2953,3288,3831,4293,3927,4388,5085,5581,6216,6479,6819,7175,7552,7978,8439,9051,9317,8257,8766,8239,8566,9025,9489,10167,10655,10712,10923,10567,11546,12181
1004002,ALB,Albania,Dibra,0,2711,2021,1942,2202,2466,2889,3256,2993,3361,3913,4314,4826,5021,5274,5538,5818,6134,6475,6930,7118,6268,6485,7435,7620,7944,8556,9172,9385,9960,10157,9826,10736,11327
1004003,ALB,Albania,Durres,0,5786,4126,3794,4118,4419,4962,5360,4727,5092,5690,6022,6468,6746,7103,7477,7873,8322,8808,9451,9734,12229,11378,11365,11440,11162,11937,12214,12827,13024,13282,12848,14038,14811
1004004,ALB,Albania,Elbasan,0,4771,3402,3127,3394,3642,4089,4416,3894,4195,4686,4959,5326,5572,5887,6218,6570,6969,7402,7971,8239,8104,7921,7777,8324,8451,8231,8694,8821,9207,9389,9083,9924,10470
1004005,ALB,Albania,Fleri,0,5799,4122,3778,4087,4370,4889,5262,4622,4960,5518,5815,6218,6415,6680,6951,7235,7555,7897,8364,8501,9779,11651,13092,13893,14572,13128,12841,12982,13866,14139,13678,14945,15767
1004006,ALB,Albania,Gjirokastra,0,4317,3237,3126,3561,4007,4715,5334,4923,5548,6482,7170,8046,8064,8140,8192,8225,8260,8276,8370,8086,8576,10732,11783,11793,12306,11847,12280,12570,13086,13344,12909,14105,14881
1004007,ALB,Albania,Korca,0,4710,3351,3074,3328,3562,3989,4298,3779,4060,4522,4771,5108,5353,5665,5994,6345,6741,7173,7738,8013,7290,8204,8374,8582,8671,8774,9554,9374,9694,9885,9563,10448,11023
1004008,ALB,Albania,Kukes,0,2977,2172,2042,2268,2491,2863,3166,2859,3155,3612,3917,4313,4753,5278,5848,6472,7178,7960,8938,9622,7458,8374,8204,8798,7804,7547,7558,7924,8372,8537,8259,9024,9520
1004009,ALB,Albania,Lezha,0,5299,3802,3518,3843,4152,4694,5106,4536,4922,5542,5911,6401,6521,6702,6878,7054,7252,7457,7761,7743,7029,7204,7784,7520,8414,8612,9421,9284,9335,9519,9208,10061,10615
1004010,ALB,Albania,Shkoder,0,4543,3249,2997,3263,3513,3959,4291,3798,4107,4606,4894,5279,5530,5849,6186,6545,6951,7392,7971,8250,7995,8692,8523,8365,8200,8682,9126,9101,9495,9683,9367,10234,10797
1004011,ALB,Albania,"TIran, Islamic Rep.a",0,6203,4516,4239,4698,5149,5907,6521,5878,6474,7398,8009,8803,9376,10082,10837,11653,12576,13589,14886,15652,16525,15660,15503,15197,15418,16308,16502,17512,18124,18482,17879,19535,20610
1004012,ALB,Albania,Vlora,0,4634,3400,3215,3591,3964,4580,5092,4622,5125,5895,6424,7107,7312,7593,7879,8175,8509,8865,9357,9475,10062,11572,10761,10469,10418,10236,11045,10792,11327,11550,11173,12208,12880
5,AND,Andorra,NA,0,23272,22094,23163,20733,18513,17234,18000,18250,18500,18750,19000,21600,24200,26800,32800,38800,40650,42500,44900,46700,60467,60911,57893,55673,56579,56461,57455,56352,56208,56331,49728,53143,53845
1006001,ARE,United Arab Emirates,Abu Dhabi,0,166797,158156,153061,145410,146102,146728,144383,143738,132998,126570,130046,122661,120212,131086,150332,162406,159821,129745,116445,93900,88810,94713,96877,102270,107086,114992,121590,122738,124640,126323,120297,124838,133921
1006002,ARE,United Arab Emirates,Ajman,0,24268,190489,170511,148478,135236,121414,104898,89501,68596,51348,38011,21516,20922,23267,24820,24383,23809,19953,15697,14373,13594,14497,14828,15654,16391,17601,18611,18787,19078,19335,18413,19108,20498
