asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,cru_ts_407_tmp_yearly_mean.2012.mean,cru_ts_407_tmp_yearly_mean.2013.mean,cru_ts_407_tmp_yearly_mean.2014.mean,cru_ts_407_tmp_yearly_mean.2015.mean,cru_ts_407_tmp_yearly_mean.2016.mean,cru_ts_407_tmp_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2021.mean,cru_ts_407_tmp_yearly_mean.2022.mean,oco2_v111r_xco2_yearly.2015.mean,oco2_v111r_xco2_yearly.2016.mean,oco2_v111r_xco2_yearly.2017.mean,oco2_v111r_xco2_yearly.2018.mean,oco2_v111r_xco2_yearly.2019.mean,oco2_v111r_xco2_yearly.2020.mean,oco2_v111r_xco2_yearly.2021.mean,oco2_v111r_xco2_yearly.2022.mean,oco2_v111r_xco2_yearly.2023.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,16.08287699,16.61877726,16.81558105,16.9310879,17.11212669,17.48882131,18.37185786,18.288892,18.35896387,18.75281768,15.27010142,15.69663856,15.34795109,15.8669213,16.36246148,15.45836729,16.05382711,16.30790226,16.32687027,16.20810127,16.18520056,401.6387653,405.6339486,409.364183,409.9388311,413.5473615,412.6284917,417.6829265,418.3167576,421.0318756,ADM1,0,0,JPN,JPN-ADM1-47310658B47245602,JP-27,Osaka,ADM1
1,0.680254952,0.715544359,0.687826728,0.694588013,0.739135633,0.770593863,0.777762214,0.790623909,0.835634393,0.843701965,14.9464338,15.55964789,15.09707491,15.44069961,16.1802493,15.36900195,15.6411895,16.02761645,15.87953237,16.03320312,15.94665544,401.6168314,404.2339599,406.7887574,408.8071327,410.3413985,413.3244162,415.9695423,419.5018705,420.8510484,ADM1,1,1,JPN,JPN-ADM1-47310658B1838805,JP-44,Oita,ADM1
2,2.270157152,2.336575667,2.352117752,2.385842449,2.414010831,2.515827773,2.639607929,2.600173735,2.643220613,2.720761785,14.45815316,14.89138733,14.54499126,15.06325465,15.55060249,14.6558557,15.24226595,15.49942189,15.51582192,15.40203221,15.38845435,400.3488304,404.2976921,408.1043831,409.3945609,411.6523336,412.9846117,417.603076,420.0077742,421.6425275,ADM1,2,2,JPN,JPN-ADM1-47310658B33251654,JP-28,Hyogo,ADM1
3,0.747546703,0.7311391,0.767896856,0.748174646,0.697697443,0.787258235,0.868154805,0.762768598,0.766236472,0.853448139,12.97764953,13.39896302,13.06424033,13.56732354,13.90721327,13.07882615,13.82237421,13.91990839,14.00530079,13.87234903,13.81798858,398.9639233,403.3494322,406.3658109,408.1080526,410.5207758,414.1022371,414.0227385,416.9602661,421.5231968,ADM1,3,3,JPN,JPN-ADM1-47310658B9129082,JP-18,Fukui,ADM1
4,1.51331711,1.521535911,1.55611918,1.520401881,1.517331009,1.648484448,1.686527688,1.639635949,1.640668399,1.700299875,13.84786296,14.30704175,13.94977474,14.45427886,14.83939669,13.98204003,14.70303807,14.81983036,14.89105103,14.76679789,14.71919442,400.0690582,401.9359888,407.0938633,407.7765576,409.9071812,415.6722806,414.1888209,419.4009455,421.1396927,ADM1,4,4,JPN,JPN-ADM1-47310658B98690773,JP-25,Shiga,ADM1
5,1.1692929,1.221296997,1.22877365,1.256282511,1.272139982,1.340386921,1.404540248,1.401093748,1.389507397,1.430277257,13.85985384,14.28137895,13.94512337,14.46715308,14.95973042,14.04300881,14.67525627,14.9067847,14.93088596,14.80329173,14.77680286,400.5490944,403.3258289,407.8499222,409.4810502,411.7061217,413.651584,415.1031628,418.7983747,421.6945289,ADM1,5,5,JPN,JPN-ADM1-47310658B83352403,JP-29,Nara,ADM1
6,0.861744296,0.848430359,0.861365686,0.849788404,0.801472763,0.902793491,0.896545643,0.853982384,0.857027142,0.876012982,11.4840398,11.9158717,11.58030716,12.05751042,12.3707358,11.55470688,12.34471199,12.40736949,12.49075732,12.35777957,12.29722449,399.2732081,404.1857015,405.3762655,408.3717812,411.5023884,414.1993261,416.0251334,417.7495231,421.1805969,ADM1,6,6,JPN,JPN-ADM1-47310658B42450327,JP-21,Gifu,ADM1
7,1.4599197,1.508657894,1.508615847,1.507835474,1.447575784,1.577571727,1.600018762,1.566559056,1.558721233,1.588301514,14.53722706,14.99864025,14.6373687,15.14971367,15.586259,14.69441528,15.4020213,15.55958153,15.60051401,15.46485744,15.43375261,401.6044753,402.129096,406.8324016,408.7489794,409.834767,415.3489647,415.3134717,420.0774993,420.7361507,ADM1,7,7,JPN,JPN-ADM1-47310658B20799871,JP-24,Mie,ADM1
8,0.703823327,0.729825698,0.736709448,0.758772399,0.752389708,0.809803062,0.821271838,0.802695009,0.833864746,0.854864117,15.36198558,15.81042095,15.43401478,15.94615332,16.48297594,15.553629,16.16035797,16.43522636,16.41449711,16.31616445,16.29606627,399.4724715,404.8068549,407.8931624,408.2773296,411.5123633,412.4755022,417.7305231,418.8072008,420.8055625,ADM1,8,8,JPN,JPN-ADM1-47310658B43088186,JP-30,Wakayama,ADM1
9,17.92084517,18.15757518,18.4127071,17.70799457,16.84311089,19.70672396,19.62634752,19.92570442,19.39134145,19.99946782,15.74696909,16.15492439,15.87989099,16.29961342,16.55986583,15.82815187,16.66103415,16.66320184,16.70768615,16.6131458,16.5095326,401.067766,404.5994862,407.8931928,410.0343192,410.7189804,413.7687438,415.7222332,419.0565097,419.8818635,ADM1,9,9,JPN,JPN-ADM1-47310658B83462002,JP-13,Tokyo,ADM1
